Date,close,VOLALITY7day
2019-09-23,2.7689999999999997,73.22
2019-09-24,2.875,78.06
2019-09-25,2.79,75.84
2019-09-26,2.839,77.36
2019-09-27,2.839,78.93
2019-09-28,2.79,79.36
2019-09-29,2.978,23.38
2019-09-30,2.9530000000000003,22.28
2019-10-01,3.0180000000000002,19.5
2019-10-02,2.9339999999999997,22.29
2019-10-03,3.014,22.88
2019-10-04,3.0010000000000003,21.76
2019-10-05,2.9160000000000004,15.7
2019-10-06,3.1919999999999997,29.49
2019-10-07,3.1710000000000003,29.74
2019-10-08,3.2539999999999996,27.45
2019-10-09,3.123,31.22
2019-10-10,3.069,31.78
2019-10-11,3.0789999999999997,30.06
2019-10-12,3.108,15.27
2019-10-13,3.168,16.48
2019-10-14,2.968,21.46
2019-10-15,2.9339999999999997,19.78
2019-10-16,2.957,20.17
2019-10-17,2.892,20.3
2019-10-18,2.889,19.59
2019-10-19,2.937,19.24
2019-10-20,2.938,9.054
2019-10-21,2.9019999999999997,9.132
2019-10-22,2.719,18.62
2019-10-23,2.734,19.04
2019-10-24,3.1889999999999996,48.23
2019-10-25,3.1460000000000004,48.9
2019-10-26,3.344,50.41
2019-10-27,3.2960000000000003,50.54
2019-10-28,3.412,42.16
2019-10-29,3.28,46.65
2019-10-30,3.266,24.3
2019-10-31,3.36,24.29
2019-11-01,3.333,18.29
2019-11-02,3.279,18.42
2019-11-03,3.457,21.82
2019-11-04,3.6310000000000002,20.08
2019-11-05,3.609,20.25
2019-11-06,3.47,24.57
2019-11-07,3.411,25.11
2019-11-08,3.4930000000000003,24.63
2019-11-09,3.594,21.68
2019-11-10,3.443,20.04
2019-11-11,3.4810000000000003,20.76
2019-11-12,3.478,17.77
2019-11-13,3.398,18.36
2019-11-14,3.338,16.91
2019-11-15,3.3810000000000002,14.33
2019-11-16,3.404,10.08
2019-11-17,3.188,18.83
2019-11-18,3.127,18.3
2019-11-19,3.089,18.25
2019-11-20,2.8280000000000003,26.76
2019-11-21,2.6319999999999997,25.3
2019-11-22,2.696,28.41
2019-11-23,2.43,33.03
2019-11-24,2.536,40.61
2019-11-25,2.6289999999999996,44.81
2019-11-26,2.688,41.39
2019-11-27,2.636,36.54
2019-11-28,2.8089999999999997,40.14
2019-11-29,2.765,21.87
2019-11-30,2.795,20.85
2019-12-01,2.693,23.89
2019-12-02,2.71,23.21
2019-12-03,2.637,23.9
2019-12-04,2.698,15.56
2019-12-05,2.745,16.4
2019-12-06,2.738,15.94
2019-12-07,2.759,11.69
2019-12-08,2.6689999999999996,15.3
2019-12-09,2.614,14.46
2019-12-10,2.5810000000000004,12.26
2019-12-11,2.592,10.34
2019-12-12,2.6319999999999997,12.32
2019-12-13,2.577,11.86
2019-12-14,2.5780000000000003,9.747
2019-12-15,2.377,22.73
2019-12-16,2.206,27.58
